datetime,balance
2021-03-22 06:10:00,402772
2021-03-22 06:05:00,402870
2021-03-22 06:00:00,401783
2021-03-22 05:55:00,402165
2021-03-22 05:50:00,402141
2021-03-22 05:45:00,401015
2021-03-22 05:40:00,400990
2021-03-22 05:35:00,400791
2021-03-22 05:30:00,400389
2021-03-22 05:25:00,400512
2021-03-22 05:20:00,401262
2021-03-22 05:15:00,401598
2021-03-22 05:10:00,401035
2021-03-22 05:05:00,401041
2021-03-22 05:00:00,401811
2021-03-22 04:55:00,401132
2021-03-22 04:50:00,401061
2021-03-22 04:45:00,402077
2021-03-22 04:40:00,402162
2021-03-22 04:35:00,401978
2021-03-22 04:30:00,402740
2021-03-22 04:25:00,402957
2021-03-22 04:20:00,402903
2021-03-22 04:15:00,401846
2021-03-22 04:10:00,401974
2021-03-22 04:05:00,401203
2021-03-22 04:00:00,401547
2021-03-22 03:55:00,401573
2021-03-22 03:50:00,400172
2021-03-22 03:45:00,400482
2021-03-22 03:40:00,400387
2021-03-22 03:35:00,400913
2021-03-22 03:30:00,400305
2021-03-22 03:25:00,400265
2021-03-22 03:20:00,400980
2021-03-22 03:15:00,399640
2021-03-22 03:10:00,398821
2021-03-22 03:05:00,397984
2021-03-22 03:00:00,397996
2021-03-22 02:55:00,397719
2021-03-22 02:50:00,397692
2021-03-22 02:45:00,397692
2021-03-22 02:40:00,397713
2021-03-22 02:35:00,397956
2021-03-22 02:30:00,397613
2021-03-22 02:25:00,397553
2021-03-22 02:20:00,397395
2021-03-22 02:15:00,395863
2021-03-22 02:10:00,395474
2021-03-22 02:05:00,395607
2021-03-22 02:00:00,395934
2021-03-22 01:55:00,395514
2021-03-22 01:50:00,396227
2021-03-22 01:45:00,395539
2021-03-22 01:40:00,395280
2021-03-22 01:35:00,395505
2021-03-22 01:30:00,395147
2021-03-22 01:25:00,394671
2021-03-22 01:20:00,395093
2021-03-22 01:15:00,395791
2021-03-22 01:10:00,395475
2021-03-22 01:05:00,394899
2021-03-22 01:00:00,395763
2021-03-22 00:55:00,395450
2021-03-22 00:50:00,395454
2021-03-22 00:45:00,396367
2021-03-22 00:40:00,397777
2021-03-22 00:35:00,399431
2021-03-22 00:30:00,398917
2021-03-22 00:25:00,399234
2021-03-22 00:20:00,399916
2021-03-22 00:15:00,400410
2021-03-22 00:10:00,399008
2021-03-22 00:05:00,399364
2021-03-22 00:00:00,400667
